sector,ind,skills
software,is_skill,sap srm
software,is_skill,sap wms
software,is_skill,sap xi
software,is_skill,sas
software,is_skill,savvion
software,is_skill,scada
software,is_skill,seam
software,is_skill,seo
software,is_skill,sharepoint moss
software,is_skill,sharepoint server
software,is_skill,shell scripting
software,is_skill,siebel
software,is_skill,silverlight
software,is_skill,smarty
software,is_skill,smo
software,is_skill,smtp
software,is_skill,software testing
software,is_skill,solaris
software,is_skill,soundforge
software,is_skill,spring
software,is_skill,spss
software,is_skill,sql
software,is_skill,sql server
software,is_skill,staad
software,is_skill,struts
software,is_skill,sunos
software,is_skill,switching
software,is_skill,sybase
software,is_skill,symbian
software,is_skill,symbian c++
software,is_skill,syncml
software,is_skill,t sql
software,is_skill,tally
software,is_skill,tcl/tk
software,is_skill,tcp/ip
software,is_skill,telnet
software,is_skill,teradata
software,is_skill,tibco
software,is_skill,toad
software,is_skill,turbo pascal
software,is_skill,tuxedo
software,is_skill,uiq
software,is_skill,uml
software,is_skill,unigraphics
software,is_skill,unix
software,is_skill,upstream
software,is_skill,vax/vms
software,is_skill,vb.net
software,is_skill,vbscript
software,is_skill,verilog
software,is_skill,video editing
software,is_skill,vignette
software,is_skill,vision plus
software,is_skill,visual basic
software,is_skill,visual c++
software,is_skill,visual foxpro
software,is_skill,visual interdev
software,is_skill,vlsi
software,is_skill,voip
software,is_skill,vsat
software,is_skill,vss/clearcase
software,is_skill,vxworks
software,is_skill,web designing
software,is_skill,weblogic
software,is_skill,webmethods
software,is_skill,website development
software,is_skill,websphere
software,is_skill,winform
software,is_skill,winrunner
software,is_skill,wml
software,is_skill,wpf
software,is_skill,xdoclet
software,is_skill,xenix
software,is_skill,xhtml
software,is_skill,xml
software,is_skill,xstream
software,is_skill,yantra
